,Name,Website,Full Address,Lat,Lng
0,251 North ,www.251northapartments.com,"300 City Line Avenue, NE Atlanta, GA 30308",33.7702499,-84.3781535
1,Alexander at the District,www.alexanderatthedistrict.com,"1750 Commerce Drive NW Atlanta, GA 30318",33.8013684,-84.41113539999999
2,Altezza High Desert,http://www.altezza-albuquerque.com/,"6000 Cortaderia St NE Albuquerque, NM 87111 ",35.149386,-106.491293
3,Arterra,http://www.arterra-albuquerque.com/,"8300 Wyoming Blvd NE Albuquerque, NM",35.177965,-106.559701
4,Bartz Ranch,www.bartzranch.com ,"1100 Hidden Valley Drive, Round Rock, TX 78665",30.559386,-97.6750917
5,Bayside Apartments,www.baysidepinoleca.com,"530 Sunnyview Drive, Pinole, CA 94564",38.0085088,-122.3054344
6,Evergreen on 47,www.evergreenon47.com,"1111 47th Ave SE Everett, WA 98203 ",47.9557985,-122.2137398
7,Fairlane Town Center Apartments,www.fairlanetowncenterapts.com,"100 Lincoln Lane Dearborn, MI 48126 ",42.3119073,-83.22097169999999
8,Gateway at 2534,http://www.gatewayloveland.com/,"5100 Ronald Reagan Blvd Johnstown, CO 80534",40.403153,-104.9852515
9,H6 Apartments,www.h6apartments.com,"410 Highway 6 S, Houston, TX 78665",29.7819515,-95.645539
10,Level at Sixteenth,www.mark-taylor.com/arizona/level-at-sixteenth/,"1550 E. Campbell Ave, Phoenix, AZ 85014",33.5023712,-112.0487116
11,Parkway Flats ,www.abacuscapitalgroup.com,"13328 Westheimer Road Houston, TX",29.736803,-95.6259369
12,Poets Row ,http://www.poetsrowdenver.com/,"1035 Sherman Street Denver, CO 80203",39.7327694,-104.9852652
13,Point at Perimeter,www.pointatperimeterapts.com,"100 Ashford Gables Drive Dunwoody, GA 30338",33.9350905,-84.34131699999999
14,Renton Woods,www.rentonwoods.com,"12000 SE Petrovitsky Road Renton, WA 98058",47.44833999999999,-122.180494
15,Residences at 3295,www.rent3295.com,"3295 SW Avalon Way Seattle, WA 98126",47.5638395,-122.3757618
16,The Burlington ,http://www.burlingtonstpaul.com/,"1180 Cushing Circle St. Paul, MN 55108",44.97129260000001,-93.150442
17,The Davenport,www.thedavenportapartments.com,"4130 South Mill Avenue, Tempe, Arizona 85282",33.3872859,-111.9401467
18,The Landings at Coconut Creek,www.landingscoconutcreek.com,"4854 Fisherman's Drive Coconut Creek, FL 33063",26.2731872,-80.1908922
19,The Pointe at Cedar Grove ,http://www.apartmentsineagan.com/,"1959 Silver Bell Rd Eagan, MN 55122",44.8193304,-93.2048322
20,The Prescott,http://www.mark-taylor.com/Arizona/The-Prescott-on-Thomas/?gclid=CKiFjK-i_MgCFREoaQodSYwJZw,"1645 E Thomas Rd. Phoenix, AZ 85016",33.4800669,-112.0456144
21,The Terraces,www.theterraceselsobrante.com,"6000 Sun Circle, El Sobrante CA 94803",37.975804,-122.300802
22,Trio Apartments,www.trioapts.com,"670 W Wayman Chicago, IL 60661",41.887525,-87.6454396
23,Westly Shores,www.westlyshorestampa.com,"6105 Paddock Glen Drive Tampa, FL 33634",27.993764,-82.548941
